placement,CTR
left_sidebar,2.5
center_page,3.8
right_sidebar,3.1
left_sidebar,2.7
center_page,3.5
right_sidebar,2.9
left_sidebar,2.8
center_page,4.0
right_sidebar,3.0
left_sidebar,2.6
center_page,3.7
right_sidebar,3.2
left_sidebar,3.0
center_page,3.9
right_sidebar,3.3
left_sidebar,2.4
center_page,3.6
right_sidebar,2.8
left_sidebar,2.9
center_page,4.1
right_sidebar,3.4
left_sidebar,2.5
center_page,3.4
right_sidebar,3.1
left_sidebar,2.6
center_page,3.8
right_sidebar,3.2
left_sidebar,2.7
center_page,3.9
right_sidebar,3.5
